gene_id	gene_name	ERR229537_Hco_A_REP1	ERR229538_Hco_A_REP2	ERR229539_Hco_A_REP3	ERR229540_Hco_M_REP1	ERR229541_Hco_M_REP2	ERR229542_Hco_M_REP3
HCON_00000010	HCON_00000010	0	0	0	0	0	0
HCON_00000020	HCON_00000020	617	790	594	354	315	323
HCON_00000030	HCON_00000030	110	123	101	76	86	87
HCON_00000040	HCON_00000040	0	0	0	2	2	0
HCON_00000050	HCON_00000050	0	0	0	0	0	4.641
HCON_00000060	HCON_00000060	50	67	77	69	102	82
HCON_00000070	HCON_00000070	1292	1805	1525	767	842	864
HCON_00000080	HCON_00000080	1	0	1	2	2	1
HCON_00000090	HCON_00000090	0	0	0	0	0	0
HCON_00000100	HCON_00000100	0	0	0	0	0	0
HCON_00000110	HCON_00000110	0	0	0	0	0	0
HCON_00000120	HCON_00000120	0	0	0	1	0	0
HCON_00000130	HCON_00000130	3.351	3.624	0	23.315	6.968	9.961
HCON_00000140	HCON_00000140	20	21	25	80	85	88
HCON_00000150	HCON_00000150	0	0	0	0	0	0
HCON_00000160	HCON_00000160	0	0	0	0	0	0
HCON_00000170	HCON_00000170	0	0	0	2	2	1
HCON_00000180	HCON_00000180	0	0	0	3	9	4
HCON_00000190	HCON_00000190	513	607	455	335	308	352
HCON_00000200	HCON_00000200	16	7.665	10.795	12.735	18.358	9.823
HCON_00000210	HCON_00000210	0	0	0	0	0	0
HCON_00000220	HCON_00000220	0	0	0	0	0	0
HCON_00000230	HCON_00000230	0	0	0	0	0	0
HCON_00000240	HCON_00000240	0	0	0	0	0	0
HCON_00000250	HCON_00000250	13	12	13.764	17	11	19
HCON_00000260	HCON_00000260	547	624	490	355	305	295
HCON_00000270	HCON_00000270	0	0	0	0	0	0
HCON_00000280	HCON_00000280	0	3	0	1.293	7.08	2.986
HCON_00000290	HCON_00000290	34	49	33	838	949	997
HCON_00000300	HCON_00000300	0	1	0	9	9	12
HCON_00000320	HCON_00000320	0	0	0	0	0	0
HCON_00000330	HCON_00000330	6	1	6	2	3	3
HCON_00000340	HCON_00000340	0	0	0	1	0	0
HCON_00000350	HCON_00000350	0	0	0	0	0	0
HCON_00000360	HCON_00000360	0	0	0	0	0	0
HCON_00000370	HCON_00000370	0	0	0	0	1	1
HCON_00000380	HCON_00000380	85	97	83	64	75	72
HCON_00000390	HCON_00000390	0	1	0	0	0	0
HCON_00000400	HCON_00000400	1	0	1	0	0	0
HCON_00000410	HCON_00000410	0	0	0	0	0	1
HCON_00000420	HCON_00000420	0	1	0	0	0	0
HCON_00000430	HCON_00000430	0	0	0	1	0	0
HCON_00000440	HCON_00000440	1.585	0	0	4.214	3.468	8.145
HCON_00000450	HCON_00000450	177	239	174	99	104	112
HCON_00000460	HCON_00000460	0	0	0	0	0	0
HCON_00000470	HCON_00000470	1	0	0	0	0	0
HCON_00000480	HCON_00000480	491	604	424	375	416	413
HCON_00000490	HCON_00000490	312	391	301	199	169	177
HCON_00000500	HCON_00000500	84	77	80	40	33	43
HCON_00000510	HCON_00000510	347	387	352	154	165	145
HCON_00000530	HCON_00000530	0	0	0	0	0	0
HCON_00000540	HCON_00000540	0	0	0	2	1	1
HCON_00000560	HCON_00000560	6	3	2	15	11	18
HCON_00000570	HCON_00000570	56	73	49	91	74	97
HCON_00000580	HCON_00000580	0	0	0	12	12	11
HCON_00000590	HCON_00000590	0	0	0	0	0	1
HCON_00000600	HCON_00000600	0	0	1	36	68	64
HCON_00000610	HCON_00000610	0	0	0	0	0	0
HCON_00000620	HCON_00000620	0	0	0	0	0	0
HCON_00000630	HCON_00000630	0	0	0	0	0	0
HCON_00000640	HCON_00000640	0	0	0	1	0	0
HCON_00000650	HCON_00000650	1.998	0	3.918	1	1.02	4
HCON_00000660	HCON_00000660	217	271	187	44	65	55
HCON_00000680	HCON_00000680	0	0	1	0	0	0
HCON_00000695	HCON_00000695	50	73.313	63.076	95.152	88	96.137
HCON_00000700	HCON_00000700	299	362.687	319.924	230.848	264	257.863
HCON_00000710	HCON_00000710	1	1	4	9	2	0
HCON_00000720	HCON_00000720	47	61	42	117	110	116
HCON_00000730	HCON_00000730	417	495	389	633	699	762
HCON_00000740	HCON_00000740	346	414	331	166	153	188
HCON_00000750	HCON_00000750	1	0	0	0	0	0
HCON_00000760	HCON_00000760	0	1	1	1	3	2
HCON_00000770	HCON_00000770	0	0	0	0	1	0
HCON_00000780	HCON_00000780	0	0	0	0	0	0
HCON_00000790	HCON_00000790	614	767	533	474	505	469
HCON_00000800	HCON_00000800	1061	1287	1003	897	850	891
HCON_00000810	HCON_00000810	408	533	365	569	638	655
HCON_00000820	HCON_00000820	154	163	129	239	249	260
HCON_00000830	HCON_00000830	2	2	5	12	12	8
HCON_00000840	HCON_00000840	0	0	0	0	0	0
HCON_00000850	HCON_00000850	0	0	0	0	0	0
HCON_00000860	HCON_00000860	0	0	0	1	0	0
HCON_00000870	HCON_00000870	2	0	0	1	5	5
HCON_00000875	HCON_00000875	0	0	0	0	0	0
HCON_00000880	HCON_00000880	0	0	0	0	0	0
HCON_00000890	HCON_00000890	0	0	0	0	3	0
HCON_00000900	HCON_00000900	1	5	3	608	685	731
HCON_00000910	HCON_00000910	0	0	0	0	0	0
HCON_00000920	HCON_00000920	1592	1939	1499	1006	1147	1075
HCON_00000930	HCON_00000930	1.456	0	0	4.298	7.326	7.278
HCON_00000940	HCON_00000940	1031	1230	968	772	755	809
HCON_00000950	HCON_00000950	0	0	0	0	0	0
HCON_00000970	HCON_00000970	0	0	0	1	0	0
HCON_00000980	HCON_00000980	407	464	415	822	804.001	812.001
HCON_00001000	HCON_00001000	17	20	14	13	23	16
HCON_00001005	HCON_00001005	43	48	46	52	74	41
HCON_00001030	HCON_00001030	3	1	1	10	4	4
HCON_00001040	HCON_00001040	446	580	516	198	201	150
HCON_00001045	HCON_00001045	199	301	211	106	84	109
HCON_00001070	HCON_00001070	6	3	14	22	17	11
HCON_00001080	HCON_00001080	250	258	197	95	66	89
HCON_00001090	HCON_00001090	0	0	1.123	1.702	1.121	1.088
HCON_00001100	HCON_00001100	489	586	462.877	358.298	425.879	423.912
HCON_00001120	HCON_00001120	164	185	135	138	128	164
HCON_00001125	HCON_00001125	0	0	0	1	1	0
HCON_00001130	HCON_00001130	9	10	11	36	63	51
HCON_00001140	HCON_00001140	0	0	0	0	3	0
HCON_00001160	HCON_00001160	32	26	23	88	104	100
HCON_00001180	HCON_00001180	827	1058	717	198	174	190
HCON_00001190	HCON_00001190	515	730	534	119	125	128
HCON_00001200	HCON_00001200	20	21	27	21	19	26
HCON_00001210	HCON_00001210	70	229	184	104	43	52
HCON_00001220	HCON_00001220	1234	1659	1216	812	766	835
HCON_00001240	HCON_00001240	1	5	0	15	26	21
HCON_00001250	HCON_00001250	36	37	33	22	18	22
HCON_00001260	HCON_00001260	6	8	8	82	94	83
HCON_00001270	HCON_00001270	901	1125	792	606	553	583
HCON_00001280	HCON_00001280	26	30	30	12	9	12
HCON_00001285	HCON_00001285	1	0	0	2	2	1
HCON_00001290	HCON_00001290	0	0	0	0	0	0
HCON_00001300	HCON_00001300	1	0	0	0	0	0
HCON_00001310	HCON_00001310	277	309	270	562	575	524
HCON_00001320	HCON_00001320	463	597	508	246	250	258
HCON_00001330	HCON_00001330	231	288	244	304	372	295
HCON_00001340	HCON_00001340	7	7	4	11	17	10
HCON_00001350	HCON_00001350	3	1	8	6	3	4
HCON_00001360	HCON_00001360	65	84	62	402	411	404
HCON_00001370	HCON_00001370	201	240	202	53	55	52
HCON_00001380	HCON_00001380	56	89	55	34	34	31
HCON_00001390	HCON_00001390	76	100	79	34	36	28
HCON_00001400	HCON_00001400	208	227	154	74	64	70
HCON_00001405	HCON_00001405	513	622	479	495	573	572
HCON_00001410	HCON_00001410	2946	3827	3022	2225	2411	1992
HCON_00001420	HCON_00001420	136	200	170	213	252	262
HCON_00001430	HCON_00001430	590	813	727	141	133	142
HCON_00001440	HCON_00001440	770.001	920	683	375.001	437	506
HCON_00001450	HCON_00001450	232	334	204	161	174	132
HCON_00001460	HCON_00001460	704	828	667	762	724	725
HCON_00001470	HCON_00001470	489	628	461	465	563	557
HCON_00001480	HCON_00001480	110	193	162	18	10	5
HCON_00001485	HCON_00001485	2	3	0	4	7	9
HCON_00001490	HCON_00001490	1	0	1	71	72	66
HCON_00001500	HCON_00001500	625	763	612	596	620	597
HCON_00001510	HCON_00001510	108	137	157	450	419	425
HCON_00001520	HCON_00001520	0	0	0	113	76	106
HCON_00001525	HCON_00001525	33	29	36	16	24	32
HCON_00001530	HCON_00001530	204	259	248	247	273	253
HCON_00001550	HCON_00001550	152	163	164	60	85	90
HCON_00001560	HCON_00001560	122	298	248	164	158	144
HCON_00001570	HCON_00001570	211	283	246	322	374	418
HCON_00001590	HCON_00001590	0	0	0	12	3	6
HCON_00001600	HCON_00001600	0	0	0	0	0	0
HCON_00001610	HCON_00001610	0	0	0	0	0	0
HCON_00001630	HCON_00001630	1010	1162	975	339	287	340
HCON_00001640	HCON_00001640	185	230	189	168	125	123
HCON_00001645	HCON_00001645	699	860	629	176	153	168
HCON_00001650	HCON_00001650	17	17	18	27	40	29
HCON_00001660	HCON_00001660	447	585	376	192	196	207
HCON_00001670	HCON_00001670	63	53	57	11	11	20
HCON_00001680	HCON_00001680	108	126	105	260	300	311
HCON_00001690	HCON_00001690	1	8	6	7	4	4
HCON_00001695	HCON_00001695	83	101	97	115	126	116
