gene_id	gene_name	ERR229537_Hco_A_REP1	ERR229538_Hco_A_REP2	ERR229539_Hco_A_REP3	ERR229540_Hco_M_REP1	ERR229541_Hco_M_REP2	ERR229542_Hco_M_REP3
HCON_00000010	HCON_00000010	0	0	0	0	0	0
HCON_00000020	HCON_00000020	141.244871	152.16376	123.803551	27.785856	24.077013	23.018575
HCON_00000030	HCON_00000030	7.596156	7.37168	6.548508	1.890739	2.040048	1.94267
HCON_00000040	HCON_00000040	0	0	0	0.058025	0.055416	0
HCON_00000050	HCON_00000050	0	0	0	0	0	0.120955
HCON_00000060	HCON_00000060	17.312617	19.090913	23.743714	7.90821	11.54751	8.600122
HCON_00000070	HCON_00000070	84.293075	102.280563	93.485186	18.04959	18.883426	18.244115
HCON_00000080	HCON_00000080	0.540534	0	0.464647	0.338583	0.341926	0.156791
HCON_00000090	HCON_00000090	0	0	0	0	0	0
HCON_00000100	HCON_00000100	0	0	0	0	0	0
HCON_00000110	HCON_00000110	0	0	0	0	0	0
HCON_00000120	HCON_00000120	0	0	0	0.653267	0	0
HCON_00000130	HCON_00000130	0.208078	0.195572	0	0.522743	0.148822	0.20035
HCON_00000140	HCON_00000140	1.755907	1.59423	2.053259	2.515385	2.554859	2.48695
HCON_00000150	HCON_00000150	0	0	0	0	0	0
HCON_00000160	HCON_00000160	0	0	0	0	0	0
HCON_00000170	HCON_00000170	0	0	0	0.06888	0.065922	0.030975
HCON_00000180	HCON_00000180	0	0	0	0.233875	0.683102	0.283093
HCON_00000190	HCON_00000190	46.613623	47.66317	38.652682	10.890881	9.57598	10.287975
HCON_00000200	HCON_00000200	1.77056	0.730151	1.112554	0.501085	0.692652	0.347974
HCON_00000210	HCON_00000210	0	0	0	0	0	0
HCON_00000220	HCON_00000220	0	0	0	0	0	0
HCON_00000230	HCON_00000230	0	0	0	0	0	0
HCON_00000240	HCON_00000240	0	0	0	0	0	0
HCON_00000250	HCON_00000250	1.385488	1.101802	1.36725	0.64504	0.400006	0.648881
HCON_00000260	HCON_00000260	390.274588	342.895922	291.508104	75.693107	66.87479	58.823451
HCON_00000270	HCON_00000270	0	0	0	0	0	0
HCON_00000280	HCON_00000280	0	0.19071	0	0.03411	0.178165	0.070717
HCON_00000290	HCON_00000290	3.003644	3.727226	2.696322	26.502588	28.69335	28.316922
HCON_00000300	HCON_00000300	0	0.093762	0	0.348631	0.334223	0.418458
HCON_00000320	HCON_00000320	0	0	0	0	0	0
HCON_00000330	HCON_00000330	2.446667	0.331765	2.154366	0.265177	0.395763	0.365434
HCON_00000340	HCON_00000340	0	0	0	0.121903	0	0
HCON_00000350	HCON_00000350	0	0	0	0	0	0
HCON_00000360	HCON_00000360	0	0	0	0	0	0
HCON_00000370	HCON_00000370	0	0	0	0	0.072164	0.067335
HCON_00000380	HCON_00000380	17.86892	22.295611	18.137872	3.970755	4.501932	4.041503
HCON_00000390	HCON_00000390	0	0.395849	0	0	0	0
HCON_00000400	HCON_00000400	0.261121	0	0.236298	0	0	0
HCON_00000410	HCON_00000410	0	0	0	0	0	0.070969
HCON_00000420	HCON_00000420	0	0.160223	0	0	0	0
HCON_00000430	HCON_00000430	0	0	0	0.346865	0	0
HCON_00000440	HCON_00000440	0.934652	0	0	0.767586	0.641377	1.378103
HCON_00000450	HCON_00000450	14.95868	17.476643	13.765094	2.999493	3.010828	3.049261
HCON_00000460	HCON_00000460	0	0	0	0	0	0
HCON_00000470	HCON_00000470	0.418717	0	0	0	0	0
HCON_00000480	HCON_00000480	86.265658	90.829952	69.15855	22.718712	24.442905	22.824849
HCON_00000490	HCON_00000490	48.839461	52.21967	43.495122	10.919394	8.946431	8.773381
HCON_00000500	HCON_00000500	60.4853	42.653712	47.977485	8.592499	7.294468	8.641323
HCON_00000510	HCON_00000510	32.593608	31.394364	30.892952	5.170437	5.300112	4.377663
HCON_00000530	HCON_00000530	0	0	0	0	0	0
HCON_00000540	HCON_00000540	0	0	0	0.108192	0.052174	0.048859
HCON_00000560	HCON_00000560	0.138796	0.060779	0.043832	0.126855	0.088139	0.136155
HCON_00000570	HCON_00000570	2.440547	2.775024	2.015035	1.440394	1.112936	1.375422
HCON_00000580	HCON_00000580	0	0	0	0.474768	0.455294	0.391847
HCON_00000590	HCON_00000590	0	0	0	0	0	0.39596
HCON_00000600	HCON_00000600	0	0	0.185964	2.528524	4.635792	4.074059
HCON_00000610	HCON_00000610	0	0	0	0	0	0
HCON_00000620	HCON_00000620	0	0	0	0	0	0
HCON_00000630	HCON_00000630	0	0	0	0	0	0
HCON_00000640	HCON_00000640	0	0	0	0.173899	0	0
HCON_00000650	HCON_00000650	0.147069	0	0.270591	0.026484	0.025774	0.095116
HCON_00000660	HCON_00000660	16.517183	17.545023	13.220252	1.007044	1.237437	1.130442
HCON_00000680	HCON_00000680	0	0	4.78651	0	0	0
HCON_00000695	HCON_00000695	9.683419	12.027407	11.196867	6.386411	5.725802	5.844153
HCON_00000700	HCON_00000700	144.594287	140.728575	134.360876	35.524128	40.771957	36.626629
HCON_00000710	HCON_00000710	4.038731	3.802413	19.252598	16.613217	4.179244	0
HCON_00000720	HCON_00000720	7.795435	8.616485	6.419072	6.782808	6.135345	6.078817
HCON_00000730	HCON_00000730	37.325141	38.298771	32.561346	20.280441	21.413386	21.945928
HCON_00000740	HCON_00000740	102.899767	102.255977	88.471645	16.579317	15.005536	17.127561
HCON_00000750	HCON_00000750	0.191763	0	0	0	0	0
HCON_00000760	HCON_00000760	0	0.305895	0.331043	0.122684	0.364743	0.22493
HCON_00000770	HCON_00000770	0	0	0	0	1.734166	0
HCON_00000780	HCON_00000780	0	0	0	0	0	0
HCON_00000790	HCON_00000790	117.453699	124.343193	93.495932	31.446459	32.468824	28.176371
HCON_00000800	HCON_00000800	140.073175	145.655104	122.814311	41.827325	38.11524	37.465038
HCON_00000810	HCON_00000810	62.857436	70.092721	51.934228	30.751744	33.254828	31.972019
HCON_00000820	HCON_00000820	11.974932	10.52433	9.170508	6.320046	6.418543	6.470221
HCON_00000830	HCON_00000830	0.244385	0.2099	0.567737	0.519497	0.498916	0.312077
HCON_00000840	HCON_00000840	0	0	0	0	0	0
HCON_00000850	HCON_00000850	0	0	0	0	0	0
HCON_00000860	HCON_00000860	0	0	0	0.115301	0	0
HCON_00000870	HCON_00000870	0.281687	0	0	0.049611	0.238817	0.223822
HCON_00000875	HCON_00000875	0	0	0	0	0	0
HCON_00000880	HCON_00000880	0	0	0	0	0	0
HCON_00000890	HCON_00000890	0	0	0	0	0.460696	0
HCON_00000900	HCON_00000900	0.366589	1.502679	0.975728	73.180159	81.221867	80.649005
HCON_00000910	HCON_00000910	0	0	0	0	0	0
HCON_00000920	HCON_00000920	230.079244	239.79338	199.463976	50.619999	55.433674	48.544736
